episode,reward,steps,exploration_reward,decision_count
477,-251.6247266968339,616,2272,35
478,-231.98999090340556,388,2262,33
479,-274.421715942782,311,2250,33
480,-233.0873445859959,572,2255,31
481,-207.6768020681226,1124,2250,53
482,-184.75228929685667,607,2251,40
483,-241.97801308168954,310,2253,37
484,-222.1721932115539,579,2252,43
485,-141.55651725043862,919,2290,44
486,-319.6463313002787,353,2294,40
487,-241.1241349483455,537,2254,31
488,-177.45927367816986,585,2254,38
489,-342.85102212602214,393,2291,41
490,-361.47560439560436,142,2260,23
491,-232.67336299615593,839,2264,50
492,-396.1953644962596,505,2255,35
493,-147.42038195063463,731,2250,55
494,-299.86169210906047,268,2250,43
495,-350.37643087181954,398,2256,28
496,-161.72417697967964,721,2261,35
497,-444.2257253126991,611,2251,56
498,-339.8068243521184,304,2259,36
499,-269.1334875908405,393,2262,44
500,-126.95124344802716,809,2265,48
501,-228.97207977207978,419,2256,37
502,-230.55106028775148,656,2272,41
503,-184.09649159084643,350,2253,26
504,-284.6380915474218,380,2263,33
505,-350.6194206405874,521,2257,28
506,-105.04699330174991,855,2262,39
507,-294.59828606897577,409,2254,44
508,-288.0527633623983,423,2251,35
509,-127.92418441977709,546,2254,27
510,-472.9079420579421,306,2252,43
511,-334.78549036103215,562,2250,43
512,-258.7042326438612,361,2256,39
513,-489.80694460333535,409,2280,35
514,-179.55058870377707,602,2277,40
515,-239.13126690331305,395,2250,39
516,-314.02292453966686,450,2289,38
517,-270.4146045539428,369,2262,39
518,-219.24555629269253,328,2256,35
519,-343.82718253968255,184,2253,27
520,-278.71396801195385,287,2262,36
521,-141.7297590043966,691,2250,36
522,-272.19599387540563,438,2251,46
523,-238.65283512866526,545,2260,35
524,-358.7955627705627,305,2251,43
525,-350.6135875089823,495,2251,40
526,-106.40258405175933,1119,2281,67
527,-379.30349927849926,342,2252,37
528,-328.09138307182036,835,2293,58
529,-279.37328961887783,424,2265,36
530,-335.10123765123757,346,2287,56
531,-326.32902638297367,432,2253,38
532,-652.60039184953,424,2263,46
533,-244.03854125466697,917,2287,51
534,-271.04855944708885,324,2251,34
535,-189.2780553766938,335,2293,31
536,-169.56400213798346,573,2253,39
537,-425.70917801668577,396,2275,39
538,-103.8854518106052,768,2253,33
539,-124.98967453594724,1024,2268,40
540,-344.325982220394,353,2258,39
541,-529.3694886577101,452,2251,38
542,-110.50940562525763,1126,2253,51
543,-299.1391533250641,329,2253,39
544,-367.02778610278614,177,2293,27
545,-458.0560126148361,360,2253,35
546,-417.9948585515082,437,2278,39
547,-292.4086988304094,255,2257,35
548,-389.413260003805,1603,2290,45
549,-252.0332649256859,449,2255,39
550,-382.84949494949495,322,2293,44
551,-208.03068833943834,608,2251,31
552,-189.31215617715617,250,2289,23
553,-95.5007929066334,1446,2260,63
554,-536.7499139749137,214,2250,42
555,-293.7789586849932,389,2251,33
556,-316.99872384417006,376,2278,39
557,-260.2201972410195,497,2250,49
558,-234.22172766949362,571,2258,41
559,-348.862059917207,293,2255,49
560,-334.5367127970069,217,2291,28
561,-281.7172024134939,419,2261,40
562,-299.1552104899931,491,2292,49
563,-293.2351733694276,520,2264,43
564,-184.1555135810305,347,2253,30
565,-159.13317226303215,661,2253,34
566,-440.3385697635698,244,2250,36
567,-334.7725307801933,366,2293,41
568,-109.22847113800323,810,2288,41
569,-248.79125265185317,653,2295,47
570,-238.8732861222026,290,2270,30
571,-255.66254180460064,353,2252,36
572,-344.5700735084808,576,2277,47
573,-132.27705462108148,566,2254,38
574,-355.121626984127,155,2281,29
575,-205.28125801875666,311,2251,22
576,-309.51558029839265,320,2253,39
577,-236.75388909186864,313,2257,31
578,-392.8727325306273,296,2251,39
579,-164.45076813722022,775,2251,45
580,-167.50629096188032,872,2250,35
581,-303.4199745906268,431,2255,35
582,-286.6160629715782,771,2290,36
583,-323.4803081232493,285,2252,30
584,-178.8367549847813,402,2250,38
585,-317.55666185666183,494,2250,47
586,-198.58435501898464,754,2250,37
587,-209.87908447831046,290,2261,26
588,-375.2855774493706,451,2299,38
589,-302.2856227106227,211,2250,32
590,-200.73348405503577,476,2252,36
591,-289.22772430184193,447,2294,38
592,-167.4920478383099,776,2250,31
593,-164.54443946850205,1423,2251,62
594,-248.0854853479854,310,2253,31
595,-235.54154039587863,301,2250,44
596,-362.46376793141496,493,2252,56
597,-272.9778394409208,389,2286,35
598,-278.80388444583264,463,2255,32
599,-253.98254283985713,381,2256,42
600,-289.65714285714284,388,2260,40
601,-280.2724415290592,304,2252,32
602,-100.80797852643926,683,2251,40
603,-311.66944028194024,270,2265,39
604,-287.3360626711323,338,2253,34
605,-319.68246571633296,377,2254,33
606,-193.46216649277795,371,2265,31
607,-519.1630952380953,136,2250,30
608,-221.4899841566824,391,2279,31
609,-334.6412055315982,459,2253,42
610,-176.61164529233216,500,2250,29
611,-147.03710694362223,986,2250,35
612,-304.15642921892925,364,2253,32
613,-141.81165891023954,702,2289,29
614,-452.06478408806237,446,2260,42
615,-280.89859193094486,596,2266,41
616,-246.15841935841937,312,2254,27
617,-275.7550739050739,529,2255,45
618,-254.14572321682297,386,2253,35
619,-257.6241161864563,345,2253,33
620,-215.8530869382428,409,2259,36
621,-314.9010954889097,728,2289,49
622,-253.38803623277303,257,2261,32
623,-325.41255469676526,201,2260,30
624,-489.6828348938643,396,2254,44
625,-421.4571282372598,302,2255,50
626,-143.00479258386284,663,2256,36
627,-255.88600975948123,479,2283,35
628,-271.95099155563025,568,2285,43
629,-241.33534080298793,492,2250,39
630,-470.9956543456543,498,2252,43
631,-446.6793956132434,447,2286,40
632,-246.30534400240282,447,2257,38
633,-483.9143353690551,592,2287,42
634,-237.01790650003372,588,2254,53
635,-254.11335662828307,1128,2279,55
636,-219.2178221785113,482,2257,45
637,-218.1505169875793,582,2296,33
638,-233.15222650324952,317,2251,27
639,-526.0761183261184,321,2293,46
640,-336.6901128217661,523,2286,50
641,-89.78819888902036,1182,2257,40
642,-241.34115243594144,450,2250,39
643,-242.1830491730491,344,2262,31
644,-231.24551641169285,442,2270,41
645,-351.18345102734554,376,2261,40
646,-306.71980816833764,481,2268,46
647,-104.25536551410804,1021,2257,37
648,-157.1478190028942,966,2270,41
649,-305.5681345952898,358,2255,42
650,-208.19772363145177,570,2250,34
651,-164.00039550188077,905,2258,51
652,-191.27539258127493,310,2256,25
653,-234.44414944241538,417,2251,33
654,-463.8366598313967,163,2289,31
655,-178.2327661518646,393,2256,29
656,-249.97785487932546,575,2252,60
657,-309.8320096570096,198,2271,31
658,-232.4732605635203,583,2257,38
659,-290.7451479076479,403,2256,43
660,-193.2163318725496,1218,2287,50
661,-256.05274186597717,531,2251,44
662,-332.29511599511596,347,2250,40
663,-270.5083333333333,177,2280,23
664,-183.78365817888502,439,2273,37
665,-227.95246501864148,432,2258,33
666,-221.99476967356478,782,2253,34
667,-212.21913417530857,543,2265,39
668,-247.51613894686136,555,2254,33
669,-326.4640637140636,218,2251,27
670,-376.24888583638574,172,2291,31
671,-302.66141456582636,240,2251,39
672,-437.30836940836946,253,2252,36
673,-258.1169252850468,508,2271,40
674,-472.0265288252053,756,2283,48
675,-201.8495504502543,691,2256,43
676,-194.89210935836326,325,2263,33
677,-280.09985762714473,505,2252,44
678,-348.45994666898537,279,2251,35
679,-528.9596657250687,423,2257,32
680,-267.9271977871318,587,2296,44
681,-345.0271680280504,484,2289,39
682,-601.5750591647259,478,2250,39
683,-140.05733005641252,1087,2275,42
684,-254.9724735790525,351,2273,36
685,-278.2216166568994,474,2250,38
686,-169.78006363158417,1065,2289,42
687,-257.75199522699523,258,2279,29
688,-266.6643920089572,286,2252,27
689,-289.1350474602797,394,2252,30
690,-230.72535450660453,345,2250,29
691,-415.5852539163616,506,2250,40
692,-319.8157828282828,249,2258,37
693,-232.76712166918048,406,2258,32
694,-363.75200311384526,348,2296,39
695,-336.5103842025569,370,2254,35
696,-383.0394771969184,668,2263,38
697,-359.415530996781,225,2253,33
698,-322.7956441271146,279,2253,47
699,-266.6890248640249,530,2290,48
700,-225.00276165244657,371,2251,29
701,-278.26511637395674,344,2261,45
702,-321.50470085470084,401,2250,38
703,-120.35667632586764,1359,2260,65
704,-282.54143717479633,444,2251,34
705,-83.17691896846193,1735,2250,46
706,-354.439773770147,1097,2251,49
707,-169.22819919135952,814,2258,48
708,-359.96896518514166,246,2285,39
709,-156.29221914888967,1143,2260,40
710,-311.0304014636157,315,2251,31
711,-196.32896417476275,326,2266,44
712,-249.3397192888498,485,2250,40
713,-311.11946594427235,305,2265,34
714,-378.4306329759704,436,2275,40
715,-291.5984321259742,503,2259,55
716,-362.04040874584354,619,2254,40
717,-303.1153105701212,438,2257,40
718,-260.333152958153,316,2255,27
719,-237.018975761081,347,2250,49
720,-291.4966580033123,706,2263,55
721,-278.8482076403129,315,2250,34
722,-411.0649337633471,620,2290,47
723,-309.67833338869144,387,2296,36
724,-264.913673372968,699,2279,62
725,-252.28669318011424,309,2254,27
726,-336.39489644342586,317,2258,38
727,-130.3340252933,1163,2252,43
728,-160.88837160366307,419,2286,30
729,-455.66855921855927,198,2258,28
730,-82.26541102170113,1276,2250,42
731,-389.23498168498173,158,2258,29
732,-268.64130169951034,773,2251,39
733,-299.02643745143746,294,2250,48
734,-255.6127937251433,529,2256,42
735,-313.62047119547117,482,2283,42
736,-454.83113687679486,606,2250,44
737,-315.64065509843556,441,2273,41
738,-249.76726656019414,376,2263,38
739,-265.5865516422216,745,2254,53
740,-385.5253596893304,476,2263,43
741,-261.98977214541736,479,2254,38
742,-126.69744133224575,1547,2252,43
743,-419.4370931464311,287,2258,45
744,-312.62105949605944,383,2251,40
745,-205.8677740353437,825,2290,37
746,-146.60983450603388,637,2258,37
747,-203.0419937116975,736,2251,43
748,-348.9480392156863,315,2251,30
749,-218.76939792663478,414,2254,35
750,-541.0310324909009,332,2259,45
751,-398.1349694352251,342,2270,36
752,-417.72018298588534,1104,2265,66
753,-521.6084654509576,276,2261,34
754,-410.6048111308981,225,2267,29
755,-290.8902960396129,418,2250,38
756,-287.6511848439598,417,2255,32
757,-123.37938912333819,812,2260,38
758,-379.58658841158837,215,2257,35
759,-247.11819860760485,570,2250,42
760,-366.2693899354614,344,2252,34
761,-259.2981540191834,384,2258,33
762,-419.72152799550275,706,2257,44
763,-187.76105864865457,639,2254,30
764,-388.5448417595477,265,2250,42
765,-273.6142729134665,300,2264,29
766,-202.0908204396324,543,2251,37
767,-204.3802412864913,500,2254,35
768,-404.84247002997006,419,2265,43
769,-192.3612803888578,449,2264,35
770,-308.2551157176157,262,2258,35
771,-410.7314901764902,336,2253,27
772,-409.66457344341234,309,2261,35
773,-123.18314162091801,1131,2289,58
