0,-676.9493866726291,571,2293,64
1,-396.4576923076923,215,2283,46
2,-501.46866466866476,216,2251,31
3,-672.5360854058223,259,2256,30
4,-473.15327646210005,225,2252,41
5,-406.4899715781294,375,2254,47
6,-603.1717661423543,275,2250,50
7,-415.3888937687223,546,2261,48
8,-495.3275132275132,373,2254,48
9,-303.57080518231413,363,2262,42
10,-400.83706793722274,400,2273,42
11,-406.42408604467425,312,2275,46
12,-574.3002971364384,368,2251,55
13,-492.6479797979798,261,2255,46
14,-502.7800865800865,366,2250,51
15,-400.4953727644905,285,2255,45
16,-396.4355158730159,225,2251,29
17,-331.2395434275869,372,2254,41
18,-457.3705988455988,292,2286,46
19,-435.3884615384615,500,2264,50
20,-272.3911796536796,282,2252,30
21,-608.003182445574,412,2257,54
22,-503.790719406042,386,2265,52
23,-488.65420690420706,420,2269,51
24,-552.8358733951351,475,2255,45
25,-565.6705128205127,337,2294,60
26,-484.39890664890663,354,2256,47
27,-426.69286448845276,255,2253,37
28,-379.6396516881812,408,2256,45
29,-343.25588730252423,313,2263,37
30,-466.3924242424243,233,2285,39
31,-589.8037545787546,307,2251,57
32,-425.5143327260975,415,2251,46
33,-458.2557115270351,335,2290,42
34,-377.6688533688534,283,2268,38
35,-659.523001998002,319,2252,58
36,-358.41452991452985,290,2252,41
37,-384.5531162464987,244,2257,32
38,-581.6255979314803,362,2256,49
39,-560.8941225441224,344,2295,49
40,-510.7045634920635,282,2264,42
41,-604.513310382428,290,2271,44
42,-366.99695416669095,304,2261,32
43,-590.789537848227,330,2285,49
44,-300.81718206213304,444,2270,43
45,-428.72308802308805,166,2278,27
46,-588.3977156572357,504,2267,55
47,-420.49295051353874,214,2283,36
48,-557.9994465329992,386,2292,54
49,-412.0944466644467,281,2254,37
50,-445.19458874458877,222,2257,37
51,-466.43268398268395,335,2278,43
52,-526.305974708724,476,2252,59
53,-433.8980859010271,314,2257,32
54,-460.439935064935,292,2250,49
55,-460.4212286047966,359,2255,47
56,-438.4615079365079,232,2250,35
57,-502.46842119233423,269,2265,42
58,-648.6618742368743,225,2254,45
59,-385.40040366721405,256,2257,40
60,-581.2011849261851,181,2251,34
61,-434.98217893217884,191,2255,31
62,-439.339819109462,348,2274,37
63,-475.90310245310246,309,2264,29
64,-472.0325437148664,293,2256,39
65,-556.1961951447245,440,2256,45
66,-272.5070346320346,455,2258,48
67,-486.37677853192554,407,2252,58
68,-416.60050643800645,321,2270,45
69,-414.5549966373496,289,2250,41
70,-419.3249097007223,433,2283,57
71,-433.7048834206729,274,2252,40
72,-414.936622527799,260,2265,40
73,-749.431639194139,299,2252,47
74,-846.5956349206348,255,2287,49
75,-507.96133214611467,345,2288,54
76,-547.762171219585,343,2257,37
77,-452.8017248522087,351,2257,43
78,-322.91316738816744,211,2251,32
79,-362.71353351025266,524,2265,50
80,-549.301067913568,354,2264,49
81,-387.68647834810116,490,2275,43
82,-371.1135124679243,221,2252,35
83,-466.268019018019,290,2256,41
84,-491.07860457662684,295,2282,39
85,-437.76610115031156,309,2257,37
86,-505.21786113479203,472,2273,55
87,-583.5729684879684,383,2250,46
88,-599.9877510806001,268,2251,36
89,-317.00319484437136,352,2289,44
90,-676.822027972028,292,2250,48
91,-542.152716416222,450,2265,46
92,-462.95068761647707,235,2253,39
93,-438.7978327228327,298,2265,44
94,-474.69120718462824,304,2278,50
95,-520.2496572871573,319,2287,39
96,-592.2327885988751,260,2285,46
97,-514.3304834054834,267,2267,51
98,-409.49232492997197,476,2252,64
99,-664.3093131283921,495,2292,63
100,-553.7608507505565,258,2254,45
101,-379.9735032511349,361,2252,43
102,-607.8492063492063,142,2256,30
103,-316.2740356865357,383,2260,43
104,-648.1133876357558,361,2292,43
105,-453.9554667554668,339,2253,50
106,-474.28579059829053,359,2258,45
107,-421.5599777945366,403,2255,47
108,-399.9757492507492,371,2255,48
109,-382.8192279942281,522,2251,42
110,-519.4228070175438,219,2259,31
111,-396.177608794714,367,2250,42
112,-324.0702382584735,329,2253,32
113,-532.5148072941552,364,2279,45
114,-508.8594678524089,258,2295,43
115,-408.4860983102918,219,2259,34
116,-330.59119972598234,321,2255,38
117,-404.8198412698413,234,2271,32
118,-368.0202452775983,240,2254,35
119,-391.1549550939257,273,2259,47
120,-689.1366174284652,201,2251,34
121,-423.25293700552317,237,2251,35
122,-595.6733044733045,207,2264,36
123,-450.5271939171938,459,2250,62
124,-380.8803382797578,429,2289,45
125,-536.8409273266416,379,2272,43
126,-471.79051226551223,165,2250,33
127,-477.0305202107834,190,2252,31
128,-394.4849595297177,249,2274,37
129,-512.999338101512,336,2290,49
130,-342.1589022089022,242,2253,32
131,-548.523914647444,389,2296,46
132,-285.54762825409887,317,2259,37
133,-544.4402231860485,257,2253,38
134,-399.48723498723507,304,2259,41
135,-304.47674080305666,285,2250,34
136,-499.44586247086255,251,2250,36
137,-472.7854395604396,306,2255,47
138,-594.6393090569562,376,2250,49
139,-335.9428071928071,400,2251,45
140,-341.41488927738936,390,2252,40
141,-528.1233576365156,265,2275,35
142,-472.2956349206349,331,2290,52
143,-705.80226031454,469,2259,49
144,-533.5475468975468,481,2260,45
145,-703.7416754071699,424,2291,53
146,-527.6634723506628,370,2272,63
147,-573.4184679165228,452,2296,46
148,-386.8213164372607,288,2254,31
149,-569.8880390077759,332,2282,43
150,-406.2996031746032,322,2268,31
151,-550.9426184926183,367,2287,63
152,-497.6375700322696,337,2250,44
153,-621.6535052910052,232,2290,50
154,-544.2195188345789,466,2266,48
155,-366.64082251082255,466,2254,58
156,-548.6264409137473,299,2262,38
157,-499.6974292615597,327,2278,50
158,-322.14018474215857,369,2250,46
159,-515.1110750360751,320,2250,47
160,-488.2331498910446,368,2250,52
161,-386.3060517140239,292,2283,49
162,-678.8351920698086,203,2254,34
163,-493.499669731713,265,2250,36
164,-309.78387038588653,319,2251,36
165,-535.4943806193806,324,2280,48
166,-482.6923076923076,135,2258,28
167,-418.058082706767,361,2278,49
168,-437.93984099424614,400,2250,53
169,-597.6517704517705,340,2286,45
170,-379.6326423576424,405,2250,49
171,-419.52680375180375,163,2256,29
172,-463.14478241057196,202,2255,36
173,-276.6447501739247,313,2250,38
174,-751.3779914529915,359,2290,42
175,-425.2765217990498,495,2264,50
176,-419.05982402100824,413,2291,50
177,-473.8057731694829,350,2260,40
178,-564.9421398046397,224,2291,33
179,-475.3138888888889,193,2255,32
180,-460.81111111111113,331,2295,47
181,-457.4082611832611,273,2261,36
182,-488.2014546755926,401,2250,44
183,-392.4844460792048,369,2261,47
184,-386.13009592746437,342,2254,39
185,-438.4371212121213,263,2254,43
186,-491.55074786324775,418,2271,56
187,-481.94588195620804,348,2293,43
188,-348.58230308974004,392,2254,45
189,-484.45728291316533,391,2265,49
190,-530.439522977023,576,2256,58
191,-386.73973380420745,231,2258,35
192,-383.3208233815993,400,2283,48
193,-539.6158011922716,310,2256,45
194,-341.3407814407814,318,2290,50
195,-461.43712121212127,350,2250,50
196,-547.3874458874459,239,2251,51
197,-447.236260961261,275,2251,32
198,-391.11406093906095,365,2254,42
199,-297.8945290820292,310,2253,44
200,-433.7778656528656,388,2253,50
201,-552.259126984127,127,2257,28
202,-552.5821169456619,488,2261,52
203,-364.10104617604617,380,2251,51
204,-341.61243756243755,193,2276,28
205,-435.7352923628659,435,2250,54
206,-489.21455440694575,405,2258,55
207,-617.4762348762349,271,2253,43
208,-516.4834889038837,244,2266,36
209,-391.09909297052144,498,2259,52
210,-296.5176573426573,251,2269,37
211,-371.8463383838384,470,2256,51
212,-538.7298885201631,489,2251,53
213,-527.4233224338487,391,2256,43
214,-616.4676003734828,126,2264,30
215,-519.7902597402597,273,2264,41
216,-392.32025862068963,398,2253,37
217,-432.9399433854676,432,2291,48
218,-309.0109356329944,228,2253,31
219,-468.611741363212,341,2252,43
220,-723.9244047619048,232,2255,47
221,-421.63647186147193,392,2251,44
222,-592.4244994136299,326,2272,55
223,-429.33354777317624,259,2280,45
224,-534.097296320025,540,2257,61
225,-496.08381152731,209,2260,29
226,-420.4385750450266,336,2295,39
227,-363.1387977519557,184,2259,27
228,-334.0100764732344,359,2258,46
229,-462.9246832641102,554,2251,54
230,-473.0023448773449,310,2254,49
231,-399.90786647992525,463,2253,55
232,-492.9272402246087,279,2289,44
233,-420.9452147525677,200,2254,31
234,-461.58442498130285,471,2251,42
235,-388.68044733044735,214,2276,40
236,-426.80664274322174,528,2269,54
237,-336.96162032412036,332,2255,45
238,-562.7140692640693,291,2266,44
239,-508.80825253178205,344,2255,45
240,-531.5585022820318,201,2262,38
241,-431.46940649440666,331,2251,41
242,-513.7306593406595,327,2250,42
243,-392.6664144335197,304,2250,41
244,-514.0491147741147,307,2281,47
245,-450.5973698022039,279,2252,43
246,-453.7611013986014,283,2254,47
247,-370.56795900178247,300,2275,44
248,-432.61219664408515,399,2250,44
249,-448.0118266047678,509,2257,50
250,-562.3117874815242,295,2258,47
251,-458.8965367965367,295,2259,39
252,-430.33768568033275,324,2278,40
253,-598.9216374269005,265,2251,42
254,-482.3795454545454,170,2267,35
255,-441.0255688755689,286,2256,39
256,-448.20126678876676,397,2252,45
257,-442.6042398777694,525,2251,46
258,-561.2071733821734,388,2264,50
259,-490.8345312367372,312,2254,48
260,-345.9171755275309,588,2250,51
261,-339.798478627258,522,2266,43
262,-665.9008769008769,291,2286,41
263,-348.8795451458175,357,2274,44
264,-624.6445665445665,174,2252,30
265,-449.6105331787888,402,2294,45
266,-397.6421356421356,287,2251,38
267,-472.92272727272723,361,2254,49
268,-767.994155844156,217,2263,42
269,-668.4055945120523,386,2297,54
270,-519.079903124724,320,2253,40
271,-404.6892912642913,448,2291,45
272,-494.7755819472925,352,2250,45
273,-538.1400413913572,336,2258,47
274,-378.250403146942,200,2274,27
275,-498.78843743975307,265,2256,41
276,-672.3789435841227,270,2250,37
277,-452.2734487734487,272,2290,51
278,-730.3711357270182,165,2255,31
279,-417.51723860934385,244,2250,33
280,-613.9108476794522,397,2265,45
281,-473.1074516986281,288,2261,47
282,-662.5806727586139,232,2273,44
283,-468.93928988459663,431,2276,55
284,-441.9985935191817,409,2260,45
285,-399.75072021612937,346,2272,34
286,-276.0446224827804,423,2250,46
287,-479.3366708454944,381,2263,48
288,-600.4761904761906,401,2259,61
289,-416.29079039744005,520,2257,56
290,-676.8527656251794,303,2277,41
291,-420.32109847516824,266,2254,37
292,-426.0711133069829,287,2253,42
293,-467.23417508417515,274,2253,45
294,-420.60350512061046,181,2258,31
295,-756.8568491421435,433,2259,64
296,-396.75513538748845,319,2279,42
297,-456.0771645021646,209,2281,39
298,-794.5126984126985,261,2287,58
299,-553.9063738892686,388,2252,49
300,-511.066240769035,307,2253,48
301,-369.86172161172163,231,2250,41
302,-446.41591104312687,300,2251,44
303,-539.9401061356942,617,2264,65
304,-555.850946050946,427,2272,54
305,-489.76626476986564,314,2269,39
306,-467.38753052503046,436,2250,53
307,-581.0813662214977,246,2259,40
308,-460.77456878869924,364,2282,46
309,-417.13283640379234,300,2274,36
310,-554.7821475244816,321,2271,42
311,-470.81979548229555,341,2253,39
312,-484.77830086580093,242,2253,42
