episode,reward,steps,exploration_reward,decision_count
0,-835.9513443256088,422,2250,131
1,-989.6722719808929,416,2293,144
2,-1496.3058441558444,390,2256,133
3,-771.9808347849095,337,2262,104
4,-942.3297313797315,415,2252,131
5,-901.4386243386244,394,2253,131
6,-1157.5333333333333,267,2258,100
7,-1058.4664377289375,383,2250,124
8,-1016.8158730158731,341,2291,124
9,-1288.2018315018315,163,2264,82
10,-983.2831313131314,363,2251,135
11,-1024.5100191898778,379,2255,162
12,-739.0208333333334,253,2254,96
13,-995.0174436674437,243,2261,93
14,-1062.1251512081299,407,2250,137
15,-1102.007575757576,406,2250,140
16,-1116.719464390766,379,2250,122
17,-756.8654095904095,452,2256,131
18,-1083.7348394079036,414,2262,142
19,-958.7342352092352,321,2260,89
20,-785.5076357466063,321,2286,91
21,-1027.9805555555554,178,2273,82
22,-829.4801587301589,299,2281,121
23,-1427.3819347319345,353,2254,147
24,-900.6480394002134,373,2255,134
25,-1104.5891414141415,191,2263,82
26,-1339.2741437484085,387,2262,122
27,-1232.8361111111114,376,2291,124
28,-1131.6357142857141,208,2256,93
29,-812.6203020993343,348,2250,107
30,-1232.794452932688,247,2252,108
31,-1228.9636446886448,338,2259,128
32,-984.2727777777777,225,2252,94
33,-657.0489538239538,289,2251,114
34,-940.1839285714285,335,2284,97
35,-1056.7936507936508,192,2285,80
36,-1101.342021720969,430,2251,129
37,-1200.4020562770565,178,2267,84
38,-1089.260776942356,347,2260,130
39,-1081.08342985843,238,2257,110
40,-997.5702991452989,273,2252,105
41,-1016.6178577748034,412,2265,80
42,-833.6999309868878,454,2256,141
43,-990.5827731092438,272,2280,110
44,-1253.2366522366524,432,2252,144
45,-1165.084523809524,233,2288,101
46,-1258.9875313283205,377,2253,167
47,-1035.7303571428572,289,2253,118
48,-1038.2920503446417,359,2260,149
49,-1310.969047619048,167,2287,89
50,-994.193899782135,406,2285,141
51,-962.1819763569765,253,2251,90
52,-1079.0280303030304,390,2257,155
53,-915.1439008570569,420,2251,108
54,-979.8357142857142,288,2259,99
55,-942.8616341991341,299,2289,124
56,-837.2656746031747,386,2261,133
57,-942.9458902208901,323,2263,103
58,-1218.1187134502923,345,2252,134
59,-1141.2424624395212,414,2257,123
60,-845.2986009230392,353,2254,99
61,-1019.5242118992119,305,2282,115
62,-749.7716727716726,309,2251,94
63,-1160.8474099974098,366,2250,109
64,-1366.0662071846282,452,2253,158
65,-1066.6262237762237,215,2251,85
66,-1254.1001188354132,461,2296,137
67,-908.5846153846153,197,2251,81
68,-936.4126678876677,267,2254,95
69,-811.7940019400891,349,2278,93
70,-1080.1001143009034,417,2260,124
71,-846.2030363155362,313,2261,89
72,-903.7857142857143,243,2275,100
73,-1036.4233333333332,393,2271,139
74,-1526.1214536024672,417,2273,149
75,-1200.7555555555555,368,2294,128
76,-1252.8477952012527,432,2255,150
77,-1305.6667737981604,409,2253,133
78,-1096.6791569541567,289,2261,127
79,-1069.0391414141413,370,2260,134
80,-984.9577922077923,344,2254,134
81,-1101.0207070707067,296,2257,126
82,-1264.1759494891073,253,2256,109
83,-1373.0190476190476,181,2251,84
84,-846.3311632811631,319,2254,131
85,-862.4722222222223,229,2285,84
86,-795.8034999483274,407,2256,127
87,-1219.0459096459094,308,2285,125
88,-649.6323792016808,444,2296,118
89,-1063.4530303030303,299,2252,100
90,-1070.1063113752157,392,2253,96
91,-840.0401116427432,358,2255,137
92,-1022.4170114199527,407,2260,146
93,-1116.8412280701752,382,2286,149
94,-1032.8039682539684,397,2250,156
95,-1104.1273954116061,196,2260,84
96,-1242.3400793650794,277,2250,105
97,-1307.4001082251082,213,2291,87
98,-656.2327052032933,361,2292,101
99,-900.354761904762,264,2251,109
100,-1425.8712715389186,282,2254,113
101,-1169.2982163669662,383,2256,147
102,-1119.1694390715666,383,2287,128
103,-1534.3332562174667,405,2252,143
104,-1016.7857142857143,337,2256,120
105,-1197.2750000000003,353,2258,121
106,-1145.6304928989139,294,2261,109
107,-1262.4117405582922,345,2257,113
108,-1014.6938785369219,376,2251,125
109,-878.271645021645,311,2250,116
110,-1345.840476190476,156,2255,76
111,-822.3318181818182,300,2274,118
112,-1151.452380952381,189,2254,83
113,-1271.0472868217053,366,2257,137
114,-757.7724386724387,310,2288,113
115,-1241.6532051282054,315,2281,121
116,-1132.7145992895992,363,2287,119
117,-900.0732933732934,251,2255,97
118,-1235.0210123210124,269,2298,121
119,-1174.7569444444441,416,2250,140
120,-1176.9629711343996,402,2253,127
121,-1177.3261904761905,246,2253,98
122,-1009.42005625953,402,2256,134
123,-1112.002010112221,390,2290,123
124,-1095.4840201465204,224,2290,74
125,-1051.533160159986,378,2272,124
126,-1035.1475209573036,381,2258,92
127,-1015.0053335553334,207,2295,77
128,-788.0430735930734,379,2256,100
129,-965.6602089268756,353,2256,118
130,-998.4927683427682,320,2256,133
131,-999.9125541125541,381,2260,136
132,-1321.7736111111112,170,2264,71
133,-942.9911976911978,203,2257,82
134,-1055.4982506382507,334,2261,122
135,-904.1137341153474,335,2253,123
136,-1071.348502886003,316,2279,127
137,-1236.3119047619048,399,2290,129
138,-1184.353077078289,404,2254,134
139,-1195.2110805860807,274,2294,109
140,-1282.4707792207791,237,2254,94
141,-1175.625,409,2252,132
142,-884.3153124061017,351,2263,123
143,-788.2104700854701,281,2257,93
144,-1087.7645021645021,340,2266,112
145,-1120.266588966589,484,2263,152
146,-1028.3657800532799,337,2254,118
147,-920.177051837052,437,2250,143
148,-1035.6744047619047,362,2271,130
149,-1232.0854472061776,199,2252,74
150,-891.3400560224088,463,2258,135
151,-1089.062728937729,152,2252,61
152,-1396.9044486215541,334,2252,133
153,-839.983380560739,351,2275,93
154,-929.68087431694,433,2255,152
155,-1146.9938586136798,367,2295,123
156,-1173.654063146998,309,2277,122
157,-801.0342520382842,310,2250,91
158,-1492.9072150072152,159,2283,87
159,-1068.2017965367966,381,2256,148
160,-1449.6499999999999,297,2253,137
161,-950.4391272978229,394,2256,124
162,-1120.8645572817984,389,2257,128
163,-882.7268199233716,386,2255,135
164,-1016.1131814264168,378,2260,136
165,-1110.8753246753247,188,2278,63
166,-1339.656926406926,187,2252,79
167,-1190.085861823362,250,2287,103
168,-1209.4191558441557,301,2250,127
169,-690.6281512605043,265,2250,110
170,-1032.8486154244306,343,2255,117
171,-1145.3597222222222,395,2261,154
172,-1103.6586996336998,316,2250,128
173,-1089.5119047619048,151,2260,63
174,-1024.272503969199,324,2252,122
175,-975.8357919857921,310,2254,111
176,-865.2436363636364,328,2250,93
177,-1084.595034279446,478,2253,144
178,-986.9696428571427,234,2282,100
179,-1514.1564859277044,453,2271,183
180,-963.7464052287581,316,2252,118
181,-1446.6872136422137,368,2270,150
182,-1049.7780188044212,414,2253,95
183,-1029.958912492736,377,2281,117
184,-1074.2305459246636,212,2251,86
185,-1450.5850408850413,351,2251,142
186,-913.2315656565657,218,2254,97
187,-1048.8914497969731,384,2255,134
188,-991.7309574441153,419,2258,154
189,-1138.1518025030523,420,2270,145
190,-637.3445992179863,352,2259,124
191,-1275.8469780219782,333,2250,131
192,-1090.137202999703,378,2286,104
193,-922.5100617842721,335,2266,117
194,-1126.6789682539682,397,2253,120
195,-1123.823600644803,367,2252,104
196,-1245.6554445554445,221,2259,91
197,-863.770242316785,428,2250,139
198,-1366.040476190476,254,2285,116
199,-887.8850038104833,453,2250,118
200,-895.7251803751806,302,2283,103
201,-1224.443067226891,271,2255,104
202,-1159.3299062049064,362,2286,139
203,-888.8799173257821,388,2251,108
204,-1099.3373143196673,257,2252,106
205,-1329.6920329670327,268,2281,112
206,-1039.6231391006015,341,2251,117
