episode,reward,steps,exploration_reward,decision_count
0,-314.7239441930619,249,2269,27
1,-372.1039935210988,363,2251,35
2,-280.1268758777455,416,2260,36
3,-260.538025210084,324,2256,35
4,-312.71553099519343,382,2256,39
5,-285.62333424254155,402,2261,30
6,-457.28411421911426,139,2261,18
7,-266.0934558257597,427,2264,31
8,-390.4377457201707,293,2259,46
9,-478.7620721785482,403,2256,46
10,-516.9965625162176,356,2255,44
11,-271.09631101185283,451,2253,36
12,-259.1225821869688,648,2252,34
13,-267.0493530685045,373,2257,33
14,-360.57673992673995,236,2271,41
15,-379.1997835497835,276,2259,36
16,-274.02117521854365,305,2257,31
17,-324.40993889257624,384,2255,32
18,-253.1773221031842,536,2251,44
19,-236.31645129036767,436,2250,41
20,-312.16488701357116,360,2264,42
21,-146.6758823471638,407,2278,28
22,-343.50519874616515,258,2256,28
23,-255.5978736949326,178,2258,24
24,-303.66079015060706,227,2255,27
25,-165.75730585727223,251,2251,17
26,-294.42372989329505,373,2252,37
27,-606.6665011459129,226,2273,36
28,-285.9723710043288,322,2268,29
29,-568.4681457431457,169,2270,42
30,-316.36199852110434,388,2250,44
31,-145.3315861014788,419,2255,28
32,-241.4135956690153,551,2262,31
33,-495.08734344463215,315,2253,41
34,-282.37797911788186,360,2250,42
35,-269.23091607395014,323,2269,35
36,-262.44728692416305,351,2296,35
37,-292.0592065169024,439,2251,40
38,-376.14640408610995,303,2258,39
39,-290.3016983016984,434,2251,33
40,-220.74873051784814,216,2251,22
41,-374.78144894321366,369,2259,39
42,-393.27624100037895,341,2256,40
43,-294.89032342249254,373,2256,40
44,-349.6937082009837,377,2280,35
45,-320.3367587591225,517,2253,50
46,-262.05886993578883,354,2257,34
47,-312.1478896214124,623,2260,45
48,-464.62364379148363,378,2284,48
49,-300.37252047753327,380,2250,39
50,-434.2936654327959,318,2262,42
51,-182.68329798362012,481,2252,34
52,-344.3795399045399,298,2285,34
53,-285.870920887952,314,2261,35
54,-264.26575790174263,581,2284,46
55,-456.09712107065053,295,2252,34
56,-304.2877594627595,277,2272,37
57,-282.2228958541458,395,2265,34
58,-256.206215333993,464,2279,31
59,-289.61192709938837,369,2258,42
60,-420.8900793650794,171,2251,30
61,-317.6716671729829,332,2251,34
