1,[-2 -2 -2],248
2,[-6 -6 -6],503
3,[-4 -4 -4],607
4,[-2 -2 -2],247
5,[-4 -4 -4],383
6,[-1 -1 -1],394
7,[-7 -7 -7],254
8,[-12 -12 -12],457
9,[-1 -1 -1],262
10,[-2 -2 -2],261
11,[-3 -3 -3],383
12,[-16 -16 -16],351
13,[-3 -3 -3],294
14,[-4 -4 -4],545
15,[-2 -2 -2],657
16,[-10 -10 -10],442
17,[-12 -12 -12],536
18,[-8 -8 -8],452
19,[-2 -2 -2],358
20,[-15 -15 -15],524
21,[-5 -5 -5],447
22,[-8 -8 -8],383
23,[-4 -4 -4],425
24,[-2 -2 -2],317
25,[-2 -2 -2],399
26,[-1 -1 -1],289
27,[-8 -8 -8],387
28,[-2 -2 -2],224
29,[-2 -2 -2],412
30,[-4 -4 -4],628
31,[-5 -5 -5],599
32,[-4 -4 -4],528
33,[-1 -1 -1],431
34,[-1 -1 -1],437
35,[-8 -8 -8],363
36,[-1 -1 -1],371
37,[-2 -2 -2],455
38,[-2 -2 -2],289
39,[-3 -3 -3],447
40,[-2 -2 -2],528
41,[-2 -2 -2],467
42,[-2 -2 -2],627
43,[-1 -1 -1],264
44,[-6 -6 -6],637
45,[-4 -4 -4],412
46,[-1 -1 -1],531
47,[-14 -14 -14],414
48,[-1 -1 -1],488
49,[-3 -3 -3],282
50,[-2 -2 -2],362
51,[-3 -3 -3],508
52,[-2 -2 -2],569
53,[-2 -2 -2],415
54,[-1 -1 -1],293
55,[-1 -1 -1],416
56,[-1 -1 -1],375
57,[-1 -1 -1],409
58,[-2 -2 -2],324
59,[-1 -1 -1],367
60,[-6 -6 -6],374
61,[-1 -1 -1],296
62,[-2 -2 -2],356
63,[-18 -18 -18],394
64,[-2 -2 -2],477
65,[-2 -2 -2],369
66,[-2 -2 -2],352
67,[-3 -3 -3],382
68,[-3 -3 -3],541
69,[-2 -2 -2],454
70,[-2 -2 -2],410
71,[-13 -13 -13],635
72,[-13 -13 -13],499
73,[-2 -2 -2],242
74,[-3 -3 -3],591
75,[-1 -1 -1],327
76,[-37 -37 -37],438
77,[-2 -2 -2],311
78,[-2 -2 -2],346
79,[-5 -5 -5],669
80,[-1 -1 -1],540
81,[-15 -15 -15],376
82,[-8 -8 -8],491
83,[-14 -14 -14],412
84,[-6 -6 -6],443
85,[-2 -2 -2],391
86,[-2 -2 -2],526
87,[-1 -1 -1],373
88,[-16 -16 -16],299
89,[-4 -4 -4],523
90,[-2 -2 -2],370
91,[-6 -6 -6],215
92,[-18 -18 -18],479
93,[-3 -3 -3],314
94,[-1 -1 -1],347
95,[-1 -1 -1],377
96,[-6 -6 -6],493
97,[-22 -22 -22],509
98,[-5 -5 -5],326
99,[-7 -7 -7],463
100,[-4 -4 -4],280
101,[-3 -3 -3],562
102,[-5 -5 -5],530
103,[-17 -17 -17],435
104,[-6 -6 -6],411
105,[-7 -7 -7],324
106,[-10 -10 -10],727
107,[-3 -3 -3],649
108,[-1 -1 -1],384
109,[-5 -5 -5],479
110,[-4 -4 -4],458
111,[-3 -3 -3],514
112,[-2 -2 -2],319
113,[-3 -3 -3],785
114,[-4 -4 -4],304
115,[-1 -1 -1],425
116,[-1 -1 -1],618
117,[-3 -3 -3],621
118,[-8 -8 -8],371
119,[-1 -1 -1],417
120,[-1 -1 -1],676
121,[-13 -13 -13],260
122,[-8 -8 -8],285
123,[-1 -1 -1],524
124,[-2 -2 -2],434
125,[-14 -14 -14],396
126,[-14 -14 -14],275
127,[-8 -8 -8],458
128,[-1 -1 -1],612
129,[-17 -17 -17],314
130,[-5 -5 -5],445
131,[-1 -1 -1],350
132,[-1 -1 -1],356
133,[-1 -1 -1],695
134,[-11 -11 -11],296
135,[-5 -5 -5],361
136,[-9 -9 -9],422
137,[-3 -3 -3],406
138,[-2 -2 -2],357
139,[-1 -1 -1],666
140,[-1 -1 -1],454
141,[-10 -10 -10],254
142,[-7 -7 -7],354
143,[-1 -1 -1],527
144,[-1 -1 -1],227
145,[-12 -12 -12],645
146,[-1 -1 -1],399
147,[-1 -1 -1],458
148,[-11 -11 -11],686
149,[-1 -1 -1],608
150,[-4 -4 -4],575
151,[-1 -1 -1],433
152,[-7 -7 -7],546
153,[-2 -2 -2],318
154,[-2 -2 -2],658
155,[-1 -1 -1],435
156,[-1 -1 -1],408
157,[-8 -8 -8],673
158,[-4 -4 -4],432
159,[-3 -3 -3],484
160,[-3 -3 -3],435
161,[-3 -3 -3],297
162,[-1 -1 -1],384
163,[-2 -2 -2],684
164,[-8 -8 -8],639
165,[-6 -6 -6],490
166,[-6 -6 -6],300
167,[-5 -5 -5],427
168,[-8 -8 -8],735
169,[-3 -3 -3],451
170,[-2 -2 -2],271
171,[-1 -1 -1],388
172,[-6 -6 -6],499
173,[-1 -1 -1],419
174,[-8 -8 -8],478
175,[-15 -15 -15],653
176,[-6 -6 -6],749
177,[-1 -1 -1],707
178,[-9 -9 -9],466
179,[-10 -10 -10],306
180,[-1 -1 -1],426
181,[-2 -2 -2],633
182,[-1 -1 -1],414
183,[-7 -7 -7],265
184,[-4 -4 -4],531
185,[-1 -1 -1],445
186,[-1 -1 -1],615
187,[-1 -1 -1],282
188,[-1 -1 -1],452
189,[-2 -2 -2],542
190,[-4 -4 -4],466
191,[-4 -4 -4],476
192,[-1 -1 -1],290
193,[-1 -1 -1],350
194,[-3 -3 -3],407
195,[-10 -10 -10],461
196,[-2 -2 -2],267
197,[-8 -8 -8],339
198,[-1 -1 -1],289
199,[-1 -1 -1],522
200,[-14 -14 -14],467
201,[-4 -4 -4],659
202,[-5 -5 -5],531
203,[-12 -12 -12],359
204,[-2 -2 -2],326
205,[-5 -5 -5],386
206,[-4 -4 -4],365
207,[-5 -5 -5],499
208,[-1 -1 -1],670
209,[-1 -1 -1],486
210,[-3 -3 -3],336
211,[-8 -8 -8],325
212,[-1 -1 -1],740
213,[-20 -20 -20],309
214,[-2 -2 -2],416
215,[-1 -1 -1],572
216,[-2 -2 -2],625
217,[-16 -16 -16],581
218,[-12 -12 -12],541
219,[-36 -36 -36],257
220,[-17 -17 -17],352
221,[-1 -1 -1],435
222,[-13 -13 -13],607
223,[-1 -1 -1],334
224,[-1 -1 -1],431
225,[-1 -1 -1],475
226,[-3 -3 -3],606
227,[-1 -1 -1],619
228,[-2 -2 -2],448
229,[-1 -1 -1],397
230,[-9 -9 -9],529
231,[-9 -9 -9],357
232,[-1 -1 -1],384
233,[-7 -7 -7],668
234,[-2 -2 -2],238
235,[-26 -26 -26],400
236,[-12 -12 -12],497
237,[-6 -6 -6],398
238,[-1 -1 -1],559
239,[-3 -3 -3],710
240,[-4 -4 -4],371
241,[-8 -8 -8],485
242,[-7 -7 -7],529
243,[-10 -10 -10],456
244,[-13 -13 -13],397
245,[-3 -3 -3],425
246,[-18 -18 -18],421
247,[-1 -1 -1],592
248,[-6 -6 -6],396
249,[-1 -1 -1],683
250,[-10 -10 -10],412
251,[-9 -9 -9],484
252,[-2 -2 -2],547
253,[-6 -6 -6],462
254,[-1 -1 -1],490
255,[-2 -2 -2],247
256,[-3 -3 -3],508
257,[-1 -1 -1],318
258,[-1 -1 -1],496
259,[-14 -14 -14],245
260,[-12 -12 -12],316
261,[-1 -1 -1],311
262,[-1 -1 -1],384
263,[-2 -2 -2],303
264,[-7 -7 -7],552
265,[-5 -5 -5],426
266,[-2 -2 -2],547
267,[-6 -6 -6],459
268,[-3 -3 -3],422
269,[-1 -1 -1],671
270,[-11 -11 -11],312
271,[-1 -1 -1],478
272,[-1 -1 -1],328
273,[-1 -1 -1],328
274,[-5 -5 -5],388
275,[-49 -49 -49],315
276,[-2 -2 -2],416
277,[-9 -9 -9],525
278,[-5 -5 -5],392
279,[-3 -3 -3],554
280,[-7 -7 -7],432
281,[-1 -1 -1],540
282,[-2 -2 -2],442
283,[-2 -2 -2],456
284,[-5 -5 -5],701
285,[-2 -2 -2],357
286,[-3 -3 -3],433
287,[-3 -3 -3],539
288,[-10 -10 -10],196
289,[-6 -6 -6],249
290,[-2 -2 -2],522
291,[-3 -3 -3],594
292,[-2 -2 -2],285
293,[-6 -6 -6],454
294,[-1 -1 -1],581
295,[-1 -1 -1],537
296,[-1 -1 -1],339
297,[-3 -3 -3],684
298,[-2 -2 -2],423
299,[-2 -2 -2],739
300,[-8 -8 -8],552
301,[-2 -2 -2],376
302,[-1 -1 -1],388
303,[-9 -9 -9],356
304,[-12 -12 -12],385
305,[-4 -4 -4],554
306,[-2 -2 -2],369
307,[-1 -1 -1],425
308,[-3 -3 -3],256
309,[-2 -2 -2],492
310,[-5 -5 -5],485
311,[-13 -13 -13],514
312,[-26 -26 -26],610
313,[-9 -9 -9],338
314,[-6 -6 -6],647
315,[-5 -5 -5],449
316,[-1 -1 -1],681
317,[-38 -38 -38],613
318,[-2 -2 -2],443
319,[-1 -1 -1],259
320,[-30 -30 -30],281
321,[-9 -9 -9],474
322,[-1 -1 -1],406
323,[-6 -6 -6],331
324,[-12 -12 -12],505
325,[-26 -26 -26],525
326,[-1 -1 -1],259
327,[-1 -1 -1],543
328,[-1 -1 -1],392
329,[-43 -43 -43],657
330,[-4 -4 -4],514
331,[-19 -19 -19],354
332,[-2 -2 -2],282
333,[-10 -10 -10],783
334,[-5 -5 -5],387
335,[-2 -2 -2],295
336,[-2 -2 -2],488
337,[-9 -9 -9],358
338,[-5 -5 -5],511
339,[-6 -6 -6],353
340,[-12 -12 -12],610
341,[-11 -11 -11],768
342,[-2 -2 -2],505
343,[-8 -8 -8],747
344,[-2 -2 -2],491
345,[-4 -4 -4],431
346,[-5 -5 -5],578
347,[-2 -2 -2],357
348,[-1 -1 -1],368
349,[-5 -5 -5],508
350,[-2 -2 -2],467
351,[-7 -7 -7],310
352,[-4 -4 -4],355
353,[-1 -1 -1],267
354,[-3 -3 -3],287
355,[-3 -3 -3],596
356,[-6 -6 -6],494
357,[-1 -1 -1],482
358,[-1 -1 -1],314
359,[-1 -1 -1],413
360,[-1 -1 -1],264
361,[-2 -2 -2],352
362,[-1 -1 -1],537
363,[-4 -4 -4],429
364,[-1 -1 -1],595
365,[-1 -1 -1],342
366,[-2 -2 -2],456
367,[-1 -1 -1],534
