0,-2145,715
1,-1710,570
2,-2505,835
3,-2853,951
4,-2118,706
5,-1158,386
6,-1920,640
7,-1602,534
8,-2079,693
9,-1188,396
10,-1845,615
11,-2106,702
12,-1557,519
13,-2268,756
14,-1902,634
15,-1617,539
16,-2085,695
17,-2952,984
18,-1779,593
19,-2472,824
20,-2532,844
21,-2487,829
22,-3234,1078
23,-1059,353
24,-1410,470
25,-2331,777
26,-3030,1010
27,-2208,736
28,-2166,722
29,-2670,890
30,-2190,730
31,-1581,527
32,-1965,655
33,-1386,462
34,-1911,637
35,-2901,967
36,-1698,566
37,-1695,565
38,-2055,685
39,-1698,566
40,-1989,663
41,-1896,632
42,-1947,649
43,-1815,605
44,-3327,1109
45,-2802,934
46,-1101,367
47,-2259,753
48,-1581,527
49,-1755,585
50,-1461,487
51,-816,272
52,-1722,574
53,-1536,512
54,-2049,683
55,-1467,489
56,-1500,500
57,-1833,611
58,-2190,730
59,-2343,781
60,-1086,362
61,-2079,693
62,-1947,649
63,-1083,361
64,-948,316
65,-1770,590
66,-2430,810
67,-3216,1072
68,-2094,698
69,-1992,664
70,-1506,502
71,-2337,779
72,-1155,385
73,-1419,473
74,-1605,535
75,-1932,644
76,-1182,394
77,-2922,974
78,-2301,767
79,-2325,775
80,-1749,583
81,-1185,395
82,-2103,701
83,-1788,596
84,-1194,398
85,-1530,510
86,-1797,599
87,-1827,609
88,-1749,583
89,-1551,517
90,-2652,884
91,-1737,579
92,-1779,593
93,-1290,430
94,-2910,970
95,-2232,744
96,-1686,562
97,-2271,757
98,-3525,1175
99,-2772,924
100,-936,312
101,-2349,783
102,-1401,467
103,-2421,807
104,-1875,625
105,-1314,438
106,-1986,662
107,-2040,680
108,-1929,643
109,-1506,502
110,-1656,552
111,-1719,573
112,-2406,802
113,-1860,620
114,-1911,637
115,-1848,616
116,-2415,805
117,-1641,547
118,-2427,809
119,-1245,415
120,-1308,436
121,-1647,549
122,-2538,846
123,-1383,461
124,-2217,739
125,-2148,716
126,-2337,779
127,-1920,640
128,-978,326
129,-2358,786
130,-1596,532
131,-2664,888
132,-3156,1052
133,-1920,640
134,-2541,847
135,-1641,547
136,-1062,354
137,-3114,1038
138,-1503,501
139,-1614,538
140,-2106,702
141,-1839,613
142,-1050,350
143,-1263,421
144,-1440,480
145,-1836,612
146,-2601,867
147,-1824,608
148,-1215,405
149,-1998,666
150,-1545,515
151,-2697,899
152,-2748,916
153,-1533,511
154,-1590,530
155,-1863,621
156,-2091,697
157,-1425,475
158,-1221,407
159,-1215,405
160,-1761,587
161,-1683,561
162,-2508,836
163,-1356,452
164,-2412,804
165,-1755,585
166,-1899,633
167,-1206,402
168,-2454,818
169,-1467,489
170,-1452,484
171,-3438,1146
172,-1863,621
173,-2196,732
174,-2544,848
175,-915,305
176,-2436,812
177,-2106,702
178,-1461,487
179,-1038,346
180,-1413,471
181,-2634,878
182,-2583,861
183,-1404,468
184,-2184,728
185,-1728,576
186,-1050,350
187,-1149,383
188,-1179,393
189,-1512,504
190,-1770,590
191,-1212,404
192,-2178,726
193,-1410,470
194,-1284,428
195,-1863,621
196,-1707,569
197,-1350,450
198,-1392,464
199,-1560,520
200,-1305,435
201,-1056,352
202,-1728,576
203,-1218,406
204,-1797,599
205,-1242,414
206,-1725,575
207,-1632,544
