1,-1182,394
2,-1092,364
3,-927,309
4,-1635,545
5,-1233,411
6,-1479,493
7,-1047,349
8,-909,303
9,-1524,508
10,-882,294
11,-1107,369
12,-1242,414
13,-990,330
14,-1347,449
15,-1329,443
16,-1518,506
17,-1446,482
18,-1203,401
19,-1296,432
20,-1530,510
21,-1317,439
22,-1461,487
23,-1422,474
24,-1632,544
25,-1347,449
26,-837,279
27,-1569,523
28,-1371,457
29,-1173,391
30,-1185,395
31,-1404,468
32,-750,250
33,-1248,416
34,-1374,458
35,-693,231
36,-1587,529
37,-1128,376
38,-1134,378
39,-1266,422
40,-1824,608
41,-954,318
42,-1416,472
43,-1413,471
44,-1188,396
45,-1380,460
46,-1419,473
47,-1167,389
48,-1038,346
49,-2241,747
50,-810,270
51,-729,243
52,-1593,531
53,-1140,380
54,-1551,517
55,-1347,449
56,-1464,488
57,-1005,335
58,-1245,415
59,-1143,381
60,-1545,515
61,-963,321
62,-1080,360
63,-2550,850
64,-837,279
65,-1863,621
66,-1320,440
67,-1869,623
68,-1005,335
69,-1314,438
70,-1185,395
71,-1053,351
72,-1017,339
73,-1056,352
74,-1371,457
75,-1290,430
76,-993,331
77,-981,327
78,-939,313
79,-831,277
80,-1029,343
81,-1746,582
82,-1257,419
83,-738,246
84,-1503,501
85,-843,281
86,-1479,493
87,-1572,524
88,-948,316
89,-1575,525
90,-915,305
91,-831,277
92,-1926,642
93,-1188,396
94,-1035,345
95,-1128,376
96,-1269,423
97,-1515,505
98,-1371,457
99,-1065,355
100,-1281,427
101,-939,313
102,-948,316
103,-1074,358
104,-1257,419
105,-1074,358
106,-1380,460
107,-816,272
108,-1602,534
109,-1449,483
110,-1242,414
111,-465,155
112,-1164,388
113,-1062,354
114,-1404,468
115,-1170,390
116,-1248,416
117,-888,296
118,-1482,494
119,-1041,347
120,-1881,627
121,-897,299
122,-2205,735
123,-1059,353
124,-1569,523
125,-1194,398
126,-1476,492
127,-1548,516
128,-1749,583
129,-873,291
130,-1395,465
131,-1188,396
132,-1701,567
133,-972,324
134,-828,276
135,-1692,564
136,-792,264
137,-1248,416
138,-1107,369
139,-1527,509
140,-1284,428
141,-1923,641
142,-1269,423
143,-1116,372
144,-1281,427
145,-888,296
146,-1497,499
147,-1023,341
148,-1059,353
149,-2163,721
150,-1476,492
151,-1017,339
152,-1575,525
153,-1494,498
154,-1623,541
155,-1449,483
156,-1374,458
157,-930,310
158,-1647,549
159,-1392,464
160,-1707,569
161,-948,316
162,-1488,496
163,-1233,411
164,-924,308
165,-1677,559
166,-1245,415
167,-1638,546
168,-1335,445
169,-726,242
170,-1128,376
171,-1431,477
172,-1128,376
173,-1014,338
174,-594,198
175,-1401,467
176,-945,315
177,-1860,620
178,-1035,345
179,-1584,528
180,-828,276
181,-1353,451
182,-1926,642
183,-1182,394
184,-1374,458
185,-1452,484
186,-1254,418
187,-1284,428
188,-1947,649
189,-1443,481
190,-1713,571
191,-1326,442
192,-1440,480
193,-1920,640
194,-849,283
195,-1020,340
196,-1110,370
197,-624,208
198,-1797,599
199,-1449,483
200,-1068,356
201,-1719,573
202,-1233,411
203,-852,284
204,-1068,356
205,-1359,453
206,-1269,423
207,-1425,475
208,-1080,360
209,-894,298
210,-1302,434
211,-1212,404
212,-660,220
213,-981,327
214,-2064,688
215,-1503,501
216,-1140,380
217,-1578,526
218,-1356,452
219,-1233,411
220,-843,281
221,-1590,530
222,-993,331
223,-1092,364
224,-1212,404
225,-1692,564
226,-1935,645
227,-966,322
228,-1662,554
229,-1005,335
230,-558,186
231,-1053,351
232,-831,277
233,-1905,635
234,-822,274
235,-1362,454
236,-1278,426
237,-1719,573
238,-1905,635
239,-1179,393
240,-1689,563
241,-1677,559
242,-1698,566
243,-906,302
244,-762,254
245,-1326,442
246,-2235,745
247,-1929,643
248,-1272,424
249,-1059,353
250,-1560,520
251,-762,254
252,-1476,492
253,-690,230
254,-1497,499
255,-1233,411
256,-1833,611
257,-1785,595
258,-1758,586
259,-969,323
260,-1875,625
261,-1659,553
262,-1038,346
263,-915,305
264,-2052,684
265,-864,288
266,-1464,488
267,-1488,496
268,-867,289
269,-1212,404
270,-1641,547
271,-1176,392
272,-1236,412
273,-1479,493
274,-1734,578
275,-846,282
276,-981,327
277,-1065,355
278,-2121,707
279,-912,304
280,-1845,615
281,-1110,370
282,-975,325
283,-1047,349
284,-1044,348
285,-1323,441
286,-1152,384
287,-711,237
288,-1056,352
289,-1563,521
290,-1056,352
291,-1239,413
292,-1593,531
293,-1011,337
294,-2313,771
295,-780,260
296,-1044,348
297,-1728,576
298,-1698,566
299,-1236,412
300,-774,258
301,-855,285
302,-1428,476
303,-1317,439
304,-1425,475
305,-1236,412
306,-1086,362
307,-591,197
308,-1056,352
309,-1074,358
310,-1248,416
311,-1203,401
312,-1110,370
313,-828,276
314,-1404,468
315,-1554,518
316,-1761,587
317,-1326,442
318,-1632,544
319,-1404,468
320,-1029,343
321,-1413,471
322,-1296,432
323,-2016,672
324,-1107,369
325,-1851,617
326,-1194,398
327,-1830,610
328,-1188,396
329,-1317,439
330,-1443,481
331,-1743,581
332,-774,258
333,-1257,419
334,-1326,442
335,-1257,419
336,-1689,563
337,-978,326
338,-2181,727
339,-1476,492
340,-1488,496
341,-1881,627
342,-1371,457
343,-894,298
344,-597,199
345,-1737,579
346,-2019,673
347,-1050,350
348,-1215,405
349,-1197,399
350,-1254,418
351,-1521,507
352,-894,298
353,-1686,562
354,-1263,421
355,-1458,486
356,-1506,502
357,-1713,571
358,-1599,533
359,-1482,494
360,-1374,458
361,-966,322
362,-1317,439
363,-1977,659
364,-1599,533
365,-1188,396
366,-1005,335
367,-813,271
368,-1908,636
369,-912,304
370,-3084,1028
371,-2337,779
372,-1605,535
373,-1374,458
374,-882,294
375,-873,291
376,-774,258
377,-1494,498
378,-909,303
379,-1170,390
380,-1659,553
381,-1533,511
382,-972,324
383,-1488,496
384,-1062,354
385,-1845,615
386,-789,263
387,-2082,694
388,-1065,355
389,-945,315
390,-1284,428
391,-1245,415
392,-1713,571
393,-1365,455
394,-906,302
395,-1506,502
396,-1299,433
397,-1989,663
398,-882,294
399,-1278,426
400,-1137,379
401,-2127,709
402,-1038,346
403,-1002,334
404,-1326,442
405,-1656,552
406,-1905,635
407,-723,241
408,-1227,409
409,-1275,425
410,-1431,477
411,-1563,521
412,-1170,390
413,-1146,382
414,-963,321
415,-1944,648
416,-1278,426
417,-1224,408
418,-1317,439
419,-1632,544
420,-1332,444
421,-1734,578
422,-915,305
423,-1188,396
424,-978,326
425,-708,236
426,-1602,534
427,-897,299
428,-1560,520
429,-1311,437
430,-1434,478
431,-1077,359
432,-1791,597
433,-1479,493
434,-930,310
435,-993,331
436,-1230,410
437,-699,233
438,-1386,462
439,-1248,416
440,-870,290
441,-948,316
442,-1230,410
443,-1035,345
444,-1398,466
445,-2043,681
446,-2502,834
447,-585,195
448,-885,295
449,-1068,356
450,-1644,548
451,-987,329
452,-1545,515
453,-1446,482
454,-999,333
455,-1119,373
456,-1812,604
457,-1245,415
458,-1551,517
459,-1029,343
460,-708,236
461,-1242,414
462,-1293,431
463,-1176,392
464,-1671,557
465,-1890,630
466,-2079,693
467,-1371,457
468,-1266,422
469,-1284,428
470,-1632,544
471,-1626,542
472,-1482,494
473,-1422,474
474,-867,289
475,-1617,539
476,-1779,593
477,-918,306
478,-1470,490
479,-1539,513
480,-1185,395
481,-1170,390
482,-1869,623
