0,1674.0,203
1,830.0,409
2,1437.0,296
3,1580.0,282
4,1530.0,299
5,1191.0,403
6,1913.0,290
7,1825.0,317
8,875.0,324
9,1468.0,211
10,1286.0,251
11,1835.0,264
12,1791.0,433
13,1616.0,332
14,2776.0,201
15,1337.0,396
16,1021.0,442
17,787.0,355
18,1735.0,454
19,1344.0,221
20,2976.0,148
21,1381.0,278
22,1437.0,345
23,2500.0,225
24,316.0,569
25,1284.0,272
26,2169.0,359
27,1920.0,203
28,1285.0,228
29,2162.0,382
30,1552.0,263
31,1607.0,211
32,1079.0,390
33,1647.0,312
34,1652.0,494
35,2542.0,252
36,989.0,306
37,346.0,463
38,2029.0,236
39,1576.0,328
40,1410.0,204
41,1290.0,297
42,1505.0,293
43,949.0,391
44,1490.0,371
45,1766.0,220
46,1832.0,288
47,2272.0,314
48,1400.0,321
49,818.0,306
50,1487.0,306
51,2807.0,216
52,1350.0,445
53,3074.0,220
54,2809.0,284
55,2607.0,281
56,2299.0,233
57,1405.0,257
58,3866.0,194
59,2204.0,183
60,1423.0,389
61,2008.0,392
62,1574.0,356
63,2429.0,415
64,1406.0,257
65,1286.0,231
66,1944.0,275
67,1606.0,485
68,1220.0,260
69,2064.0,164
70,3560.0,471
71,1574.0,329
72,2816.0,315
73,2336.0,388
74,2023.0,255
75,1662.0,434
76,3276.0,217
77,2328.0,270
78,1703.0,370
79,1688.0,325
80,2083.0,299
81,1302.0,231
82,707.0,446
83,1216.0,349
84,1614.0,337
85,1359.0,302
86,654.0,544
87,2683.0,362
88,3525.0,388
89,2329.0,247
90,1140.0,423
91,1983.0,272
92,1507.0,449
93,3207.0,374
94,1962.0,302
95,2186.0,260
96,1301.0,434
97,904.0,397
98,705.0,380
99,388.0,558
100,2820.0,408
101,1625.0,288
102,1044.0,380
103,4220.0,310
104,2664.0,264
105,3262.0,214
106,2721.0,401
107,3768.0,343
108,1644.0,349
109,2815.0,344
110,3868.0,356
111,2407.0,336
112,3749.0,266
113,821.0,349
114,2408.0,408
115,2001.0,234
116,1652.0,150
117,2216.0,165
118,779.0,343
119,734.0,274
120,3724.0,334
121,1528.0,249
122,788.0,331
123,1442.0,285
124,4025.0,284
125,2004.0,195
126,4138.0,299
127,899.0,322
128,3628.0,528
129,2083.0,314
130,976.0,331
131,2519.0,356
132,1052.0,313
133,1694.0,378
134,3090.0,349
135,1947.0,204
136,3398.0,459
137,1024.0,349
138,1495.0,318
139,4120.0,203
140,3311.0,420
141,4335.0,310
142,4388.0,236
143,1604.0,473
144,2131.0,227
145,1876.0,379
146,3949.0,280
147,1128.0,230
148,1527.0,262
149,2308.0,261
150,1022.0,295
151,1324.0,244
152,878.0,359
153,1541.0,269
154,2963.0,577
155,1929.0,311
156,1887.0,243
157,2307.0,341
158,1835.0,365
159,2768.0,397
160,3429.0,173
161,2245.0,270
162,2039.0,337
163,2771.0,309
164,2827.0,355
165,1726.0,251
166,3400.0,402
167,2313.0,414
168,1057.0,313
169,2418.0,342
170,1978.0,271
171,1583.0,185
172,2137.0,257
173,2626.0,313
174,1093.0,274
175,4595.0,235
176,3054.0,304
177,1509.0,347
178,2524.0,287
179,2571.0,350
180,3881.0,371
181,1632.0,251
182,3676.0,468
183,2161.0,220
184,3503.0,461
185,1849.0,323
186,1815.0,241
187,2418.0,157
188,1500.0,346
189,1826.0,294
190,1709.0,290
191,3655.0,332
192,1574.0,287
193,2809.0,220
194,2645.0,221
195,3223.0,262
196,2289.0,226
197,2749.0,281
198,3099.0,264
199,1762.0,438
200,1763.0,455
201,3148.0,265
202,3867.0,427
203,2823.0,495
204,2422.0,350
205,2137.0,201
206,2558.0,293
207,899.0,296
208,1680.0,211
209,2654.0,205
210,3461.0,256
211,2861.0,230
212,3165.0,271
213,1968.0,355
214,2173.0,422
215,2632.0,596
